№; region;customer; type; receiver;win; model; ;final price; trades date
2823;Ярославская область;ДГЗ ЯО;МРТ;1,5;;;1;;21.06.2021 9:45
2824;Московская область;КОМИТЕТ ПО КОНКУРЕНТНОЙ ПОЛИТИКЕ МОСКОВСКОЙ ОБЛАСТИ;КРД-2;ППС;Амико; «МЕДИКС-Р-АМИКО» ;1;17 036 196,00;21.06.2021 11:05
2825;Московская область;КОМИТЕТ ПО КОНКУРЕНТНОЙ ПОЛИТИКЕ МОСКОВСКОЙ ОБЛАСТИ;КРД-2;ППС;Амико; «МЕДИКС-Р-АМИКО» ;1;17 036 196,00;21.06.2021 11:05
2826;Московская область;КОМИТЕТ ПО КОНКУРЕНТНОЙ ПОЛИТИКЕ МОСКОВСКОЙ ОБЛАСТИ;КРД-2;ППС;Амико; «МЕДИКС-Р-АМИКО» ;1;17 036 196,00;21.06.2021 11:05
2827;Ханты-Мансийский Автономный округ - Югра АО;ДЕПГОСЗАКАЗА ЮГРЫ;КТ;16;МТЛ;"""OPTIMA CT540"" ";1;37 616 700,01;25.06.2021 11:20
2828;Республика Хакасия;ГОСКОМЗАКУП ХАКАСИИ;МРТ;1,5;;;1;;21.06.2021 10:25
2829;Алтайский край;"КГКУ ""ЦЕНТР ГОСУДАРСТВЕННЫХ ЗАКУПОК АЛТАЙСКОГО КРАЯ""";КТ;онко;GE;Discovery RT ;1;70 000 000,00;25.06.2021 10:45
2830;Иркутская область;МИНИСТЕРСТВО ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК ИРКУТСКОЙ ОБЛАСТИ;МРТ;1;;;1;;21.06.2021 9:30
2831;Ханты-Мансийский Автономный округ - Югра АО;ДЕПГОСЗАКАЗА ЮГРЫ;КТ;16;МТЛ;"""OPTIMA CT540"" ";1;38 000 000,00;23.06.2021 10:50
2832;Москва;"ФГУП ""РМП ""МЕДТЕХНИКА""";;мрт;;;1;;
2833;Томская область;"ОГКУ ""ЦГЗ ТО""";АПР;ППМ;Севкаврентген;"""ПАРУС"" ";1;5 572 000,00;02.07.2021 10:30
2834;Орловская область;ДЕПАРТАМЕНТ ЭКОНОМИЧЕСКОГО РАЗВИТИЯ И ИНВЕСТИЦИОННОЙ ДЕЯТЕЛЬНОСТИ ОРЛОВСКОЙ ОБЛАСТИ;;РХА;;;1;не состоялся;22.06.2021 10:50
2835;Челябинская область;МИНЗДРАВ ЧЕЛЯБИНСКОЙ ОБЛАСТИ;;Фа+Ма;;;1;не состоялся;23.06.2021 10:55
2836;Челябинская область;МИНЗДРАВ ЧЕЛЯБИНСКОЙ ОБЛАСТИ;Фа+Ма;;Амико;КДП на базе шасси автомобиля КАМАЗ-43118 ;1;28 000 000,00;23.06.2021 9:50
2837;Севастополь;ДЕПАРТАМЕНТ УПРАВЛЕНИЯ ДЕЛАМИ ГУБЕРНАТОРА И ПРАВИТЕЛЬСТВА СЕВАСТОПОЛЯ;АГ;ПП;Siemens;Artis Q ceiling ;1;94 406 666,66;22.06.2021 10:22
2838;Московская область;"ФБУН ""ФНЦГ ИМ. Ф.Ф. ЭРИСМАНА"" РОСПОТРЕБНАДЗОРА";КРТ;ППДтс;МТЛ;«ТелеКоРД-МТ-Плюс» ;1;28 822 000,00;23.06.2021 11:38
2839;Новосибирская область;"ГКУ НСО ""УКСИС""";М;СЛ;Адани;МАММОСКАН;1;14 325 000,00;23.06.2021 12:15
2840;Ярославская область;ДГЗ ЯО;;АГ;;;1;отменен;23.06.2021 10:55
2841;Тюменская область;УПРАВЛЕНИЕ ГОСУДАРСТВЕННЫХ ЗАКУПОК ТЮМЕНСКОЙ ОБЛАСТИ;АГ;ПП;GE;Innova IGS 5 ;1;60 000 000,00;24.06.2021 10:00
2842;Ивановская область;ДЕПАРТАМЕНТ КОНКУРСОВ И АУКЦИОНОВ ИВАНОВСКОЙ ОБЛАСТИ;КРД-3;УРИ+ППС;Амико;"""МЕДИКС-РЦ-""АМИКО"" ";1;23 095 000,00;23.06.2021 12:15
2843;Ставропольский край;КОМИТЕТ СК ПО ЗАКУПКАМ;КРД-2;ППМ;Гелпик;«РЕНЕКС-2» ;1;14 775 000,00;28.06.2021 9:36
2844;Новосибирская область;"ГКУ НСО ""УКСИС""";Ф;ПП;е                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ;" ФЦ-""Максима"" ";1;6 500 000,00;23.06.2021 12:30
2845;Ростовская область;УПРАВЛЕНИЕ ЗДРАВООХРАНЕНИЯ;РХА;УРИ;Siemens;«Cios Connect» ;1;8 730 000,00;23.06.2021 11:50
2846;Ростовская область;УПРАВЛЕНИЕ ЗДРАВООХРАНЕНИЯ;РХА;УРИ;Siemens;«Cios Connect» ;1;8 730 000,00;23.06.2021 11:50
2847;Ульяновская область;АГЕНТСТВО ГОСЗАКУПОК УЛЬЯНОВСКОЙ ОБЛАСТИ;М;ППС;МТЛ;«Маммо-4-«МТ» ;1;13 500 000,00;25.06.2021 10:00
2848;Москва;ПОЛИКЛИНИКА №1 РАН;;М;;;1;не состоялся;23.06.2021 9:25
2849;Москва;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МЕЖДУНАРОДНЫЙ АЭРОПОРТ ""ВНУКОВО""";;;;;1;;10.06.2021 19:16
2850;Смоленская область;ГЛАВНОЕ УПРАВЛЕНИЕ СМОЛЕНСКОЙ ОБЛАСТИ ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ;;М;;;1;не состоялся;28.06.2021 9:25
2851;Амурская область;УПРАВЛЕНИЕ ГОСЗАКАЗА ОБЛАСТИ;КРТ;ППД1;Электрон; КРТ-«ОКО»  ;1;19 701 000,00;29.06.2021 9:35
2852;Челябинская область;УПРАВЛЕНИЕ МУНИЦИПАЛЬНЫХ ЗАКУПОК АДМИНИСТРАЦИИ ГОРОДА ЧЕЛЯБИНСКА;АПР;П;МТЛ;«МобиРен-4МТ-А» ;1;1 850 000,00;28.06.2021 10:07
2853;Челябинская область;МИНЗДРАВ ЧЕЛЯБИНСКОЙ ОБЛАСТИ;Фа;СЛ;Амико;КФП-Ц-РП ;1;15 160 000,00;07.07.2021 9:25
2854;Республика Тыва;МИНИСТЕРСТВО РЕСПУБЛИКИ ТЫВА ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК;;АГ;;;1;отменен;30.06.2021 10:40
2855;Ярославская область;ДГЗ ЯО;М;цифр;МТЛ;«Маммо-4МТ-Плюс» ;1;13 742 044,50;30.06.2021 10:35
2856;Брянская область;УПРАВЛЕНИЕ ГОСУДАРСТВЕННЫХ ЗАКУПОК БРЯНСКОЙ ОБЛАСТИ;;АПР;;;1;отменен;29.06.2021 9:35
2857;Омская область;ФГБУЗ ЗСМЦ ФМБА РОССИИ;АГ;ПП;GE;Innova IGS 5 ;1;58 614 000,00;29.06.2021 11:40
2858;Хабаровский край;КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗА ПРАВИТЕЛЬСТВА ХАБАРОВСКОГО КРАЯ;АГ;ПП;GE; Optima IGS 330 ;1;49 361 314,96;29.06.2021 9:30
2859;Санкт-Петербург;АДМИНИСТРАЦИЯ ВЫБОРГСКОГО РАЙОНА САНКТ-ПЕТЕРБУРГА;КРД-2;ППС;Адани;«УНИЭКСПЕРТ 2 плюс», ;1;19 000 000,00;25.06.2021 10:49
2860;Санкт-Петербург;АДМИНИСТРАЦИЯ ФРУНЗЕНСКОГО РАЙОНА САНКТ-ПЕТЕРБУРГА;М;ППС;Гелпик;DMX-600;1;18 430 000,00;29.06.2021 9:20
2861;Санкт-Петербург;АДМИНИСТРАЦИЯ ФРУНЗЕНСКОГО РАЙОНА САНКТ-ПЕТЕРБУРГА;КРД-2;ППС;Амико;"""РЕНЕКС-РЦ""  ";1;17 000 000,00;25.06.2021 10:15
2862;Калужская область;МИНИСТЕРСТВО КОНКУРЕНТНОЙ ПОЛИТИКИ КАЛУЖСКОЙ ОБЛАСТИ;КРД-2;ППС;Амико;«МЕДИКС-РЦ-«АМИКО» ;1;14 378 500,00;25.06.2021 9:15
2863;Калужская область;МИНИСТЕРСТВО КОНКУРЕНТНОЙ ПОЛИТИКИ КАЛУЖСКОЙ ОБЛАСТИ;КРД-2;ППС;Амико;«МЕДИКС-РЦ-«АМИКО» ;1;14 378 500,00;25.06.2021 9:15
2864;Калужская область;МИНИСТЕРСТВО КОНКУРЕНТНОЙ ПОЛИТИКИ КАЛУЖСКОЙ ОБЛАСТИ;КРД-3;УРИ+ППС;Амико;«МЕДИКС-РЦ-«АМИКО» ;1;23 425 500,00;28.06.2021 9:45
2865;Калужская область;МИНИСТЕРСТВО КОНКУРЕНТНОЙ ПОЛИТИКИ КАЛУЖСКОЙ ОБЛАСТИ;КРД-3;УРИ+ППМ;ВКО Медпром;"""Р-500 ""Дуограф"" ";1;21 546 000,00;29.06.2021 9:00
2866;Алтайский край;"КГКУ ""ЦЕНТР ГОСУДАРСТВЕННЫХ ЗАКУПОК АЛТАЙСКОГО КРАЯ""";РХА;ПП;Philips;Zenition 70 ;1;20 837 540,00;02.07.2021 10:45
2867;Астраханская область;"ГКУ АО ""РЦОЗ""";;М;;;1;отменен;28.06.2021 9:45
2868;Астраханская область;"ГКУ АО ""РЦОЗ""";;М;;;1;отменен;28.06.2021 9:45
2869;Астраханская область;"ГКУ АО ""РЦОЗ""";;М;;;1;отменен;28.06.2021 9:45
2870;Астраханская область;"ГКУ АО ""РЦОЗ""";;М;;;1;отменен;28.06.2021 9:45
2871;Астраханская область;"ГКУ АО ""РЦОЗ""";;М;;;1;отменен;28.06.2021 9:45
2872;Астраханская область;"ГКУ АО ""РЦОЗ""";;М;;;1;отменен;28.06.2021 9:45
2873;Астраханская область;"ГКУ АО ""РЦОЗ""";;М;;;1;отменен;28.06.2021 9:45
2874;Москва;"ФГБУ ""НМИЦ КАРДИОЛОГИИ"" МИНЗДРАВА РОССИИ";АГ;ПП;Philips;Azurion 7 M20 ;1;162 929 348,00;28.06.2021 10:30
2875;Сахалинская область;"ГКУ ""ЦЕНТР ГОСУДАРСТВЕННЫХ ЗАКУПОК САХАЛИНСКОЙ ОБЛАСТИ""";М;ППС;Амико; «Маммо-РПц» ;1;14 299 997,98;28.06.2021 10:55
2876;Архангельская область;КОНТРАКТНОЕ АГЕНТСТВО АО;КРД-2;ППС;Амико;«МЕДИКС-РЦ-«АМИКО» ;1;16 000 000,00;
2877;Архангельская область;КОНТРАКТНОЕ АГЕНТСТВО АО;КРД-2;ППС;Амико;«МЕДИКС-РЦ-«АМИКО» ;1;16 000 000,00;
2878;Архангельская область;КОНТРАКТНОЕ АГЕНТСТВО АО;КРД-2;ППС;Амико;«МЕДИКС-РЦ-«АМИКО» ;1;16 000 000,00;
2879;Республика Дагестан;КОМИТЕТ ПО ГОСУДАРСТВЕННЫМ ЗАКУПКАМ РЕСПУБЛИКИ ДАГЕСТАН;КРД-2;ППМ;Гелпик;«РЕНЕКС-2» ;1;12 282 407,10;29.06.2021 10:50
2880;Ярославская область;"ГАУЗ ЯО ""КЛИНИЧЕСКАЯ БОЛЬНИЦА СКОРОЙ МЕДИЦИНСКОЙ ПОМОЩИ ИМЕНИ Н.В. СОЛОВЬЕВА""";РХА;УРИ;н/д;;1;8 487 500,00;
2881;Свердловская область;"ГАУЗ СО ""ГБ Г.ПЕРВОУРАЛЬСК""";М;ППС;Гелпик;;1;12 555 000,00;
2882;Москва;"ФГУП ""РМП ""МЕДТЕХНИКА""";;РХА;;OEC;1;;
2883;Алтайский край;"КГКУ ""ЦЕНТР ГОСУДАРСТВЕННЫХ ЗАКУПОК АЛТАЙСКОГО КРАЯ""";МРТ;1,5;;;1;;01.07.2021 9:50
2884;Ярославская область;ДГЗ ЯО;КТ;160;Canon/Toshiba;AquilionLightning (TSX-036А) ;1;49 990 000,00;25.06.2021 11:35
2885;Амурская область;УПРАВЛЕНИЕ ГОСЗАКАЗА ОБЛАСТИ;КТ;64;Philips;Incisive CT ;1;45 000 000,00;28.06.2021 9:10
2886;Ямало-Ненецкий АО;ДЕПАРТАМЕНТ ГОСЗАКАЗА ЯНАО;Ф;ПП;Электрон;"ФЦ-""ОКО"" ";1;8 073 833,97;16.07.2021 10:53
2887;Чувашская Республика - Чувашия;"КУ ""ЦЕНТР РЕСУРСНОГО ОБЕСПЕЧЕНИЯ ГОСУДАРСТВЕННЫХ УЧРЕЖДЕНИЙ ЗДРАВООХРАНЕНИЯ"" МИНЗДРАВА ЧУВАШИИ";АПР;цифр;Амико;Mobildrive ;1;4 879 531,25;01.07.2021 11:45
2888;Санкт-Петербург;АДМИНИСТРАЦИЯ ФРУНЗЕНСКОГО РАЙОНА САНКТ-ПЕТЕРБУРГА;КРД-2;ППМ;Гелпик;"""РЕНЕКС-РЦ"" ";1;16 660 000,00;01.07.2021 10:55
2889;Ивановская область;"ФГБУЗ МЦ ""РЕШМА"" ФМБА РОССИИ";КТ;64;Canon/Toshiba;Aquilion Lightning (TSX-036A) ;1;48 817 750,00;30.06.2021 11:58
2890;Ивановская область;"ФГБУЗ МЦ ""РЕШМА"" ФМБА РОССИИ";КТ;64;Canon/Toshiba;Aquilion Lightning (TSX-036A) ;1;48 817 750,00;30.06.2021 11:58
2891;Брянская область;УПРАВЛЕНИЕ ГОСУДАРСТВЕННЫХ ЗАКУПОК БРЯНСКОЙ ОБЛАСТИ;АПР;ППМ;Гелпик;"""РЕНЕКС"" ";1;6 400 000,00;01.07.2021 10:25
2892;Брянская область;УПРАВЛЕНИЕ ГОСУДАРСТВЕННЫХ ЗАКУПОК БРЯНСКОЙ ОБЛАСТИ;АПР;ППМ;Гелпик;"""РЕНЕКС"" ";1;6 400 000,00;01.07.2021 10:25
2893;Астраханская область;"ГКУ АО ""РЦОЗ""";АПР;ППМ;ВКО Медпром;"""Р-500«Мобикомпакт» ";1;7 900 000,00;30.06.2021 11:20
2894;Саратовская область;"ГКУСО ""ГОСУДАРСТВЕННОЕ АГЕНТСТВО ПО ЦЕНТРАЛИЗАЦИИ ЗАКУПОК""";КРД-2;ППС;Севкаврентген;«Диаком» ;1;13 640 000,00;02.07.2021 10:17
2895;Ульяновская область;ФГБУ ФНКЦРИО ФМБА РОССИИ;КТ;128;GE;Revolution EVO ;1;88 481 250,00;02.07.2021 11:38
2896;Пермский край;ФКУЗ МСЧ-59 ФСИН РОССИИ;;Ф;;;1;отменен;08.07.2021 9:20
2897;Москва;ФГАОУ ВО РНИМУ ИМ. Н.И. ПИРОГОВА МИНЗДРАВА РОССИИ;РХА;ПП;;фрг;1;16 015 520,00;
2898;Москва;ФГАОУ ВО РНИМУ ИМ. Н.И. ПИРОГОВА МИНЗДРАВА РОССИИ;РХА;ПП;Гелпик;ренекс;1;16 096 000,00;
2899;Москва;ФГАОУ ВО РНИМУ ИМ. Н.И. ПИРОГОВА МИНЗДРАВА РОССИИ;РХА;ПП;Philips;нидерданды;1;16 096 000,00;
2900;Московская область;КОМИТЕТ ПО КОНКУРЕНТНОЙ ПОЛИТИКЕ МОСКОВСКОЙ ОБЛАСТИ;КРД-2;ППМ;Амико;«МЕДИКС-Р-АМИКО» ;1;11 633 333,33;05.07.2021 10:25
2901;Московская область;КОМИТЕТ ПО КОНКУРЕНТНОЙ ПОЛИТИКЕ МОСКОВСКОЙ ОБЛАСТИ;КРД-2;ППМ;Амико;«МЕДИКС-Р-АМИКО» ;1;11 633 333,33;05.07.2021 10:25
2902;Московская область;КОМИТЕТ ПО КОНКУРЕНТНОЙ ПОЛИТИКЕ МОСКОВСКОЙ ОБЛАСТИ;КРД-2;ППМ;Амико;«МЕДИКС-Р-АМИКО» ;1;11 633 333,33;05.07.2021 10:25
2903;Московская область;КОМИТЕТ ПО КОНКУРЕНТНОЙ ПОЛИТИКЕ МОСКОВСКОЙ ОБЛАСТИ;КРД-2;ППМ;Амико;«МЕДИКС-Р-АМИКО» ;1;11 633 333,33;05.07.2021 10:25
2904;Московская область;КОМИТЕТ ПО КОНКУРЕНТНОЙ ПОЛИТИКЕ МОСКОВСКОЙ ОБЛАСТИ;КРД-2;ППМ;Амико;«МЕДИКС-Р-АМИКО» ;1;11 633 333,33;05.07.2021 10:25
2905;Московская область;КОМИТЕТ ПО КОНКУРЕНТНОЙ ПОЛИТИКЕ МОСКОВСКОЙ ОБЛАСТИ;КРД-2;ППМ;Амико;«МЕДИКС-Р-АМИКО» ;1;11 633 333,33;05.07.2021 10:25
2906;Московская область;КОМИТЕТ ПО КОНКУРЕНТНОЙ ПОЛИТИКЕ МОСКОВСКОЙ ОБЛАСТИ;КРД-2;ППМ;Амико;«МЕДИКС-Р-АМИКО» ;1;11 633 333,33;05.07.2021 10:25
2907;Новосибирская область;"ГКУ НСО ""УКСИС""";МРТ;1,5;;;1;;30.06.2021 9:45
